HID,市区町村,Type,施設名,所在地,電話番号,定員,x,y,sourceNo,uncertain,URL,"URL
（区のHP掲載外）",基本保育時間,延長保育時間,定員,受入年齢,延床面積,園庭面積,常勤職員数,備考
1014001,中野区,認可保育所,マミーズエンジェル新中野保育園,中野区本町四丁目３０番１２,--,75,139.671,35.6972,10,1,http://www.mammys-angel.co.jp/branch/h20091102212253913.html,,午前7時15分から午後6時15分,午後8時15分まで,75,1歳以上就学前まで,,,,
1014002,中野区,認可保育所,田中ナースリー若宮保育園,中野区若宮三丁目６番９,--,60,139.6456,35.7205,10,1,http://www.tanaka-nursery.com/ninka/,,午前7時15分から午後6時15分,午後8時15分まで,60,1歳以上就学前まで,,,,
1014003,中野区,認可保育所,丸山保育園,中野区丸山２－２７－１６,03-3337-7106,93,139.6498,35.7258,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002491.html,,午前7時15分から午後6時15分,午後7時15分まで,96,6か月以上就学前まで,513平方メートル,462平方メートル,園長1人、保育士19人、看護師1人、調理員4人、用務員1人、栄養士（巡回）。,
1014004,中野区,認可保育所,江原保育園,中野区江原町１－１０－１６,03-3953-5528,109,139.6752,35.7291,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002489.html,,午前7時15分から午後6時15分,午後7時15分まで,117,57日以上就学前まで,764平方メートル,747平方メートル,園長1人、保育士22人、看護師1人、栄養士1人。調理・用務は業務委託しています。（平成22年4月現在、変更となる場合があります。）,
1014005,中野区,認可保育所,徳田保育園,中野区江古田３－１５－２,03-3993-5029,123,139.6644,35.7276,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002498.html,http://www.kosodate-web.com/tokuden/,午前7時15分から午後6時15分,午後7時15分まで,123,57日以上就学前まで,"1,158,09平方メートル","442,00 平方メートル",園長1人、保育士19人、看護師1人、栄養士2人、調理員2人、事務員1人、用務員1名（平成24年4月現在、変更となる場合があります。）,
1014006,中野区,認可保育所,なかよしの森保育園,中野区江古田４－１６－１３,03-5942-8816,100,139.6632,35.7259,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d012403.html,http://sinyukai.com/nakayosi/,午前7時15分から午後6時15分,午後8時15分まで,100,57日以上就学前まで,943.72平方メートル,241.25平方メートル,園長1人、保育士21人、看護師1人、栄養士1人、事務員1人、調理は業務委託しています。 （平成24年4月現在、変更となる場合があります）,
1014007,中野区,認可保育所,西鷺宮保育園,中野区鷺宮５－２２－１４,03-3990-7440,100,139.6327,35.7264,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002496.html,http://www.seishinfukushikai.or.jp/nishisaginomiya/,午前7時15分から午後6時15分,午後8時15分まで,100,57日以上就学前まで,584平方メートル,237平方メートル,園長1人、保育士21人、看護師2人、調理員4人、事務員1人、用務員1人（平成24年4月現在、変更となる場合があります。）,
1014008,中野区,認可保育所,松が丘保育園,中野区松が丘２－３２－３,03-3951-6241,80,139.6725,35.7229,8,0,,http://shoutoku-f.xsrv.jp/matsugaoka/,午前7時15分から午後6時15分,午後8時15分まで,107,57日以上就学前まで,,,,
1014009,中野区,認可保育所,沼袋保育園,中野区沼袋１－３４－１４,03-3386-7082,152,139.6653,35.7196,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002486.html,,午前7時15分から午後6時15分,午後7時15分まで,118,57日以上就学前まで,987平方メートル,288平方メートル,園長1人、保育士24人、看護師1人、栄養士1人。調理・用務は業務委託しています。,
1014010,中野区,認可保育所,沼袋西保育園,中野区沼袋３－１３－２,03-3388-5032,99,139.6599,35.7175,10,1,http://www.city.tokyo-nakano.lg.jp/dept/244000/d016147.html,http://shoutoku-f.xsrv.jp/n-nishi/,午前7時15分から午後6時15分,午後8時15分まで,99,57日以上就学前まで,816.43平方メートル,277.25平方メートル,園長1人、主任 1人、 保育士17人、看護師1人、栄養士3人、事務員1人 （平成24年4月現在、変更となる場合があります）,
1014011,中野区,認可保育所,あさひ保育園,中野区上高田１－４５－８,03-3387-3286,80,139.6751,35.7118,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002485.html,,午前7時15分から午後6時15分,午後7時15分まで,70,8か月以上就学前まで,410平方メートル,218.5平方メートル,園長1人、保育士16人、看護師1人、調理員3人、用務員1人、栄養士（巡回）。,
1014012,中野区,認可保育所,あけぼの保育園,中野区上高田２－５８－２１,03-3385-3822,110,139.6704,35.7142,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002503.html,http://www.t-himawari-f.org/akebono/,午前7時15分から午後6時15分,午後8時15分まで,110,57日以上就学前まで,614.56平方メートル,175.62 平方メートル,園長1人、保育士18人、看護師1人、栄養士2人、調理員1人、事務員1人、（平成24年4月現在、変更となる場合があります。）,
1014013,中野区,認可保育所,とちの木保育園,中野区上鷺宮３－８－８,03-5971-3910,70,139.6322,35.7326,8,0,http://ikuwakai.net/tochinoki/,,午前7時15分から午後6時15分,午後8時15分まで,70,43日以上就学前まで,,,,
1014014,中野区,認可保育所,ピオニイ保育園,中野区新井２－４０－３,03-3386-0539,30,139.6629,35.7128,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002497.html,http://peony-nakano.ed.jp/,午前7時から午後6時,午後7時まで,30,57日以上2歳児まで,237平方メートル,0平方メートル,園長1人、保育士11人、看護師1人、栄養士2人（平成24年4月現在、変更となる場合があります。）,
1014015,中野区,認可保育所,中野りとるぱんぷきんず,中野区新井４－１０－１０,03-5345-8331,80,139.6671,35.7164,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d010619.html,http://www.seikoukai.or.jp/nakano/,午前7時15分から午後6時15分,午後8時15分まで,80,57日以上就学前まで,752.31平方メートル,211.19平方メートル,園長1人、保育士18人、看護師1人、栄養士1人、事務員2人、調理は業務委託しています。（ 平成24年4月現在、変更となる場合があります）,
1014016,中野区,認可保育所,大和東保育園,中野区大和町１－３７－４,03-3330-9893,100,139.651,35.7119,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002493.html,,午前7時15分から午後6時15分,午後7時15分まで,105,6か月以上就学前まで,603平方メートル,448平方メートル,園長1人、保育士19人、看護師1人、調理員4人、用務員1人、栄養士（巡回）。,
1014017,中野区,認可保育所,七海保育園,中野区大和町４－１２－１０,03-3310-9773,100,139.647,35.7152,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002504.html,http://www.nanamihoikuen.com/,午前7時15分から午後6時15分,午後8時15分まで,100,57日以上就学前まで,703平方メートル,418平方メートル,園長1人、保育士16人、看護師1人、栄養士1人、調理員1人、事務員1人（平成24年4月現在、変更となる場合があります。）,
1014018,中野区,認可保育所,大和保育園,中野区大和町４－４２－４,03-3337-7180,89,139.6423,35.7145,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002494.html,,午前7時15分から午後6時15分,午後7時15分まで,88,6か月以上就学前まで,513平方メートル,528平方メートル,園長1人、保育士18人、看護師1人、調理員3人、用務員1人、栄養士（巡回）。,
1014019,中野区,認可保育所,仲町保育園,中野区中央２－５２－１５,03-3363-9449,103,139.6759,35.6996,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002479.html,,午前7時15分から午後6時15分,午後7時15分まで,91,57日以上就学前まで,741.01平方メートル,346.67平方メートル,園長1人、保育士19人、看護師1人、調理員4人、用務員1人、栄養士（巡回）（平成25年4月現在、変更となる場合があります。）,病後児保育
1014020,中野区,認可保育所,橋場保育園,中野区中央４－１８－１９,03-3383-1896,100,139.6686,35.6997,8,0,（平成27年5月末まで）名称など変更？,http://www.tokyojidokyokai.com/soratomidori/index.html,午前7時15分から午後6時15分,午後7時15分まで,80,1歳以上就学前まで,,,,
1014021,中野区,認可保育所,宮園保育園,中野区中野１－２１－６,03-3368-0015,100,139.6766,35.703,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002481.html,http://www.coho.jp/miyazono/,午前7時15分から午後6時15分,午後8時15分まで,100,57日以上就学前まで,603平方メートル,393平方メートル,園長1人、保育士18人、看護師1人、調理員3人、事務員1人、用務員1人（平成24年4月現在、変更となる場合があります。）,
1014022,中野区,認可保育所,もみじやま保育園,中野区中野１－５９－５,03-3365-0602,99,139.673,35.7046,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002482.html,,午前7時15分から午後6時15分,午後7時15分まで,106,57日以上就学前まで,709平方メートル,369.34平方メートル,園長1人、保育士19人、看護師1人、栄養士1人。調理・用務は業務委託しています。（平成25年4月現在、変更となる場合があります。）,
1014023,中野区,認可保育所,桃が丘さゆり保育園,中野区中野３－１９－１３,03-5342-9543,110,139.6614,35.7033,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002552.html,http://sayurikai.net/momogaoka/,午前7時15分から午後6時15分,午後8時15分まで,110,57日以上就学前まで,831平方メートル,850平方メートル,園長1人、保育士18人、看護師1人、栄養士2人、調理員1人、事務員1人（平成24年4月現在、変更となる場合があります。）,
1014024,中野区,認可保育所,打越保育園,中野区中野５－２６－１２,03-3387-5117,100,139.6689,35.7081,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002483.html,http://www.pigeonhearts.co.jp/hoiku/land/uchigoshi.html,午前7時15分から午後6時15分,午後8時15分まで,100,57日以上就学前まで,735平方メートル,765平方メートル,園長1人、保育士22人、看護師1人、調理員4人、事務員1人（平成25年4月現在、変更となる場合があります。休日保育担当も含んでいます。）,
1014025,中野区,認可保育所,昭和保育園,中野区中野６－２－１１,03-3362-1506,70,139.6783,35.7077,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002484.html,,午前7時15分から午後6時15分,午後7時15分まで,61,1歳以上就学前まで,389.93平方メートル,460平方メートル,園長1人、保育士13人、看護師（出張対応）、調理員3人、用務員1人、栄養士（巡回）。,
1014026,中野区,認可保育所,陽だまりの丘保育園,中野区東中野５－１７－３,03-5331-6767,164,139.6883,35.7093,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002548.html,http://ryobi.or.jp/hidamari/access/index.html,午前7時15分から午後6時15分,午後8時15分まで,123,57日以上就学前まで,919平方メートル,520平方メートル,園長1人、保育士21人、看護師1人、栄養士1人。（平成24年4月現在、変更となる場合があります。）,陽だまりの丘分園（ふたば）もあり
1014027,中野区,認可保育所,南台保育園,中野区南台３－３５－２,03-3384-0906,91,139.6653,35.6843,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002475.html,,午前7時15分から午後6時15分,午後7時15分まで,84,6か月以上就学前まで,528平方メートル,221平方メートル,園長1人、保育士16人、看護師1人、調理員4人、用務員1人、栄養士（巡回）。,
1014028,中野区,認可保育所,中野みなみ保育園,中野区南台５－２９－９,03-3384-5941,95,139.6604,35.6813,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002502.html,http://www.nakano-minami.ed.jp/,午前7時15分から午後6時15分,午後8時15分まで,95,57日以上就学前まで,757平方メートル,326平方メートル,園長1人、保育士16人、看護師1人、栄養士2人、調理員1人、事務員1人、（平成24年4月現在、変更となる場合があります。）,
1014029,中野区,認可保育所,聖ピオ保育園,中野区白鷺１－１５－１５,03-3339-0801,120,139.6394,35.7207,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002499.html,http://odilia.jp/pio,午前7時から午後6時,午後8時まで,120,57日以上就学前まで,606平方メートル,258平方メートル,園長1人、保育士25人、看護師1人、栄養士3人、事務員1人、用務員1人（平成24年4月現在、変更となる場合があります。）,
1014030,中野区,認可保育所,白鷺保育園,中野区白鷺３－３－２４,03-3330-2475,100,139.633,35.7213,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002495.html,,午前7時15分から午後6時15分,午後7時15分まで,107,57日以上就学前まで,938平方メートル,404平方メートル,園長1人、保育士20人、看護師1人、栄養士（巡回）。調理・用務は業務委託しています。,
1014031,中野区,認可保育所,本町保育園,中野区本町３－２９－１７,03-3373-8700,100,139.6777,35.6972,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002544.html,,午前7時15分から午後6時15分,午後7時15分まで,116,57日以上就学前まで,952平方メートル,192平方メートル,園長1人、保育士25人、看護師1人、用務員1人、栄養士1人。調理は民間業者に委託しています。,
1014032,中野区,認可保育所,宮の台保育園,中野区本町４－１４－１３,03-3383-6770,102,139.6729,35.6946,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002543.html,http://www.combiwith.co.jp/support/plaza/minei/,午前7時15分から午後6時15分,午後8時15分まで,93,57日以上就学前まで,603平方メートル,365平方メートル,園長1人、保育士22人、看護師1人、調理員4人、事務員1人（平成24年4月現在、変更となる場合があります。）,
1014033,中野区,認可保育所,鍋横保育園,中野区本町５－４７－１３,03-3384-4565,80,139.6679,35.6937,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002478.html,,午前7時15分から午後6時15分,午後7時15分まで,70,1歳以上就学前まで,476平方メートル,346平方メートル,園長1人、保育士13人、看護師（出張対応）、調理員3人、用務員1人、栄養士（巡回）。,
1014034,中野区,認可保育所,野方保育園,中野区野方１－３５－８,03-3387-6379,110,139.6565,35.7093,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002492.html,,午前7時15分から午後6時15分,午後7時15分まで,90,8か月以上就学前まで,650.59平方メートル,253.14平方メートル,園長1人、保育士18人、看護師1人、調理員4人、用務員1人、栄養士（巡回）。,
1014035,中野区,認可保育所,野方さくら保育園,中野区野方４－４１－７,03-3387-7391,101,139.6567,35.7217,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002501.html,http://kodama-kai.org/nogatasakura/,午前7時15分から午後6時15分,午後8時15分まで,101,57日以上就学前まで,707平方メートル,422平方メートル,園長1人、保育士22人、看護師1人、栄養士1人、調理員2人（平成24年4月現在、変更となる場合があります。）,
1014036,中野区,認可保育所,やよい子どもの森保育園,中野区弥生町１－５８－１４,03-5358-0901,99,139.6786,35.6922,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d010845.html,http://www.yayoikodomo.com/,午前7時から午後6時まで,午後6時から午後8時まで,,生後57日より,1012平方メートル,930平方メートル,園長1人、保育士13人、看護師1人、栄養士3人（平成24年4月1日現在。変更となる場合があります。）,やよいこども園
1014037,中野区,認可保育所,中野保育園,中野区弥生町２－６－３,03-3373-4894,100,139.6767,35.6922,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002476.html,,午前7時15分から午後6時15分,午後7時15分まで,106,57日以上就学前まで,697平方メートル,514.32平方メートル,園長1人、保育士21人、看護師1人、栄養士1人。調理・用務は業務委託しています。,
1014038,中野区,認可保育所,弥生保育園,中野区弥生町５－４－８,03-3381-0213,154,139.6669,35.6867,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002545.html,,午前7時15分から午後6時15分,午後7時15分まで,112,57日以上就学前まで,604.17平方メートル,295.8181平方メートル,園長1人、保育士24人、看護師1人、栄養士（巡回）1人。調理・用務は業務委託しています。,
2114001,中野区,認証保育所（A型）,コンビプラザ中野保育園,中野区中野４－６－２０,03-5913-2701,50,139.6639,35.7096,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002508.html,http://www.combiwith.co.jp/support/plaza/nakano/,,,,,,,,
2114002,中野区,認証保育所（A型）,ひまわり保育園,中野区中央４－６１－４,03-3382-2400,40,139.6659,35.7028,10,1,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002506.html,http://www.himawari-n.jp/summary.html,,,,,,,,
2114003,中野区,認証保育所（A型）,幼保園 ベビーサロン新中野,中野区本町６－１５－７,03-3382-7893,33,139.6671,35.6965,8,1,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002505.html,http://www.baby-salon.jp/s-nakano.html,,,,,,,,
2114004,中野区,認証保育所（A型）,マミーナ野方,中野区野方５－２９－１,03-3310-5018,30,139.6528,35.7189,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002547.html,http://www.the0123child.com/personal/area/kanto/mammina-nogata.php,,,,,,,,
2114005,中野区,認証保育所（A型）,ぽけっとランドさぎのみや,中野区鷺宮４－４－２４グランドショップ２階,03-3336-3307,30,139.638,35.7237,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002551.html,http://www.pocket-land.jp/saginomiya/,,,,,,,,
2114006,中野区,認証保育所（A型）,東中野プチ・クレイシュ,中野区東中野５－１－１,03-3365-0965,40,139.6875,35.7067,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d007191.html,http://www.j3.s009v.squarestart.ne.jp/,,,,,,,,
2114007,中野区,認証保育所（A型）,幼保園ベビーサロン南台,中野区南台２－４９－１３,03-3383-7893,25,139.6703,35.6857,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d010532.html,http://www.baby-salon.jp/minamidai.html,,,,,,,,
2114008,中野区,認証保育所（A型）,小学館アカデミー あらいやくし保育園,中野区新井５－１７－２,03-5318-0385,30,139.6701,35.7153,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d011680.html,http://www.shopro.co.jp/has/osaki/info/araiyakushi/,,,,,,,,
2114009,中野区,認証保育所（A型）,にじいろ保育園中野,中野区中央５－４８－２,03-6382-8492,33,139.6652,35.7015,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d011676.html,http://www.success-academy.net/establishment/nijiiro/nakano/,,,,,,,,
2114010,中野区,認証保育所（A型）,ピノキオ幼児舎中野園,中野区中野５－２４－２１,03-5345-7735,40,139.6693,35.7097,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d012424.html,http://www.pinoh.co.jp/22room_each/10nakano.html,,,,,,,,
2114011,中野区,認証保育所（A型）,幼保園ベビーサロン東中野,中野区東中野２－２２－２６,03-3371-7893,40,139.682,35.7046,10,1,http://www.city.tokyo-nakano.lg.jp/dept/244000/d014500.html,http://www.baby-salon.jp/h-nakano.html,,,,,,,,
2114012,中野区,認証保育所（A型）,マミーズエンジェル中野白鷺保育園,中野区白鷺２－７－１,03-3337-8877,30,139.6357,35.7182,10,1,http://www.city.tokyo-nakano.lg.jp/dept/244000/d014503.html,http://www.mammys-angel.co.jp/branch/h20120329112309089.html,,,,,,,,
2114013,中野区,認証保育所（A型）,エデュケアセンター・ひがしなかの,中野区東中野４－４－２６,03-5330-5117,40,139.6839,35.7067,10,1,http://www.city.tokyo-nakano.lg.jp/dept/244000/d015297.html,,,,,,,,,
2114014,中野区,認証保育所（A型）,グローバルキッズ中野新橋園,中野区弥生町２－１１－５,03-5352-9009,40,139.6755,35.6928,10,1,http://www.city.tokyo-nakano.lg.jp/dept/244000/d016141.html,http://www.gkids.co.jp/,,,,,,,,
2114015,中野区,認証保育所（A型）,ぽけっとランド中野坂上,中野区本町２－１,03-5302-2656,40,139.6814,35.6922,10,1,http://www.city.tokyo-nakano.lg.jp/dept/244000/d016140.html,http://www.pocket-land.jp/nakanosakaue/,,,,,,,,
2214001,中野区,認証保育所（B型）,エンゼル保育室,中野区中野５－２２－７,03-3319-0419,16,139.6703,35.7085,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002509.html,http://angel-hoiku.ciao.jp/,,,,,,,,
2214002,中野区,認証保育所（B型）,田中ナースリー保育園,中野区白鷺１－１１－４,03-3336-7890,28,139.6378,35.7184,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002510.html,http://www.tanaka-nursery.com/,,,,,,,,
2214003,中野区,認証保育所（B型）,ピノッキオ保育園,中野区中野２－１－７,03-3380-3106,29,139.6716,35.7028,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002507.html,,,,,,,,,
2214004,中野区,認証保育所（B型）,龍の子保育室,中野区若宮１－３７－５,03-3336-6750,24,139.6482,35.719,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002511.html,,,,,,,,,